,minutes_lag1,value,total_points_season_avg,minutes_roll3,ict_index_roll3,us_time_lag1,team,total_points_roll10,ict_index_roll10,total_points_roll3
minutes_lag1,1.0,0.15446275187913425,0.23500703101756723,0.8676181380893219,0.5126617541188908,0.4054544537187824,-0.02272860272440921,0.20726637678606755,0.21288588872477676,0.44816374813757337
value,0.15446275187913425,1.0,0.4297655930759038,0.15163310893564186,0.2953850334332981,0.10738764334647821,0.21986398576401753,0.43606799511613215,0.53058721467339,0.3040655802272151
total_points_season_avg,0.23500703101756723,0.4297655930759038,1.0,0.3350613316696721,0.5200055011312271,0.3804846041878584,0.054006359952795506,0.7909169432590779,0.712456327808867,0.6086749365757449
minutes_roll3,0.8676181380893219,0.15163310893564186,0.3350613316696721,1.0,0.5495247005893468,0.4015176848120275,-0.0027910818996044447,0.30691538650822636,0.28464042545178453,0.5020379048200534
ict_index_roll3,0.5126617541188908,0.2953850334332981,0.5200055011312271,0.5495247005893468,1.0,0.5588433598153876,0.04714748692104256,0.7025594089537361,0.6936884659478386,0.7805763021784198
us_time_lag1,0.4054544537187824,0.10738764334647821,0.3804846041878584,0.4015176848120275,0.5588433598153876,1.0,0.06591167072419224,0.4386178183299705,0.4417208799823637,0.488439062759822
team,-0.02272860272440921,0.21986398576401753,0.054006359952795506,-0.0027910818996044447,0.04714748692104256,0.06591167072419224,1.0,0.07392378633431247,0.0753002157019564,0.05740913693019808
total_points_roll10,0.20726637678606755,0.43606799511613215,0.7909169432590779,0.30691538650822636,0.7025594089537361,0.4386178183299705,0.07392378633431247,1.0,0.8514277891887566,0.734420643072151
ict_index_roll10,0.21288588872477676,0.53058721467339,0.712456327808867,0.28464042545178453,0.6936884659478386,0.4417208799823637,0.0753002157019564,0.8514277891887566,1.0,0.6505957298406401
total_points_roll3,0.44816374813757337,0.3040655802272151,0.6086749365757449,0.5020379048200534,0.7805763021784198,0.488439062759822,0.05740913693019808,0.734420643072151,0.6505957298406401,1.0
