,ict_index_roll5,value,ict_index_roll10,minutes_lag1,total_points_season_avg,total_points_roll3,us_time_lag1,ict_index_roll3,total_points_roll10,minutes_roll3
ict_index_roll5,1.0,0.3605298674576197,0.8164561708467535,0.2781605557158116,0.7086735515627129,0.799271161639772,0.5920512613256482,0.8896768505994191,0.7627500888346211,0.5471167871376603
value,0.3605298674576197,1.0,0.5264221557832378,0.019284649725081586,0.3789955073608023,0.2627903219000954,0.09245064613670294,0.2884161446088671,0.3388416214809214,0.14491659275276583
ict_index_roll10,0.8164561708467535,0.5264221557832378,1.0,0.2622682633720544,0.7492779819944407,0.6744631685731405,0.48129299670753933,0.726549540957018,0.7731964799402196,0.4331370677630151
minutes_lag1,0.2781605557158116,0.019284649725081586,0.2622682633720544,1.0,0.18378441945477691,0.29459176572461027,0.434373065683041,0.3702117606787024,0.22766476745090453,0.6628864530190506
total_points_season_avg,0.7086735515627129,0.3789955073608023,0.7492779819944407,0.18378441945477691,1.0,0.7318926767865603,0.4439616571932365,0.6596583098982809,0.8713771617093473,0.39951904535813243
total_points_roll3,0.799271161639772,0.2627903219000954,0.6744631685731405,0.29459176572461027,0.7318926767865603,1.0,0.6008987906341018,0.8116352440844226,0.8000343861614982,0.5295094947141996
us_time_lag1,0.5920512613256482,0.09245064613670294,0.48129299670753933,0.434373065683041,0.4439616571932365,0.6008987906341018,1.0,0.650889001801049,0.46246114641492414,0.47167804032600613
ict_index_roll3,0.8896768505994191,0.2884161446088671,0.726549540957018,0.3702117606787024,0.6596583098982809,0.8116352440844226,0.650889001801049,1.0,0.7078686948818751,0.6537203394844088
total_points_roll10,0.7627500888346211,0.3388416214809214,0.7731964799402196,0.22766476745090453,0.8713771617093473,0.8000343861614982,0.46246114641492414,0.7078686948818751,1.0,0.4765035123227968
minutes_roll3,0.5471167871376603,0.14491659275276583,0.4331370677630151,0.6628864530190506,0.39951904535813243,0.5295094947141996,0.47167804032600613,0.6537203394844088,0.4765035123227968,1.0
